keys,fr,en
MENU_NEW_GAME,Nouvelle partie,New Game
MENU_OPTIONS,Options,Options
MENU_CONTINUE,Continuer,Continue
MENU_QUIT,Quitter,Quit
MENU_CREDITS,Crédits,Credits
CREDITS_TITLE,// Crédits,// Credits
CREDITS_BACK_BUTTON,Retour menu,Back to menu
MENU_TAGLINE_1,Tu n'as pas piraté le système.,You didn't hack the system.
MENU_TAGLINE_2,Tu as juste trouvé,You just found
MENU_TAGLINE_3,une porte que tout le monde avait oublié de fermer.,a door everyone forgot to close.
LOGIN_PSEUDO_ERROR,"Pseudo requis : 2 à 20 caractères (lettres, chiffres, _).","Username required: 2 to 20 characters (letters, digits, _)."
LOGIN_TITLE,// Connexion,// Login
LOGIN_PSEUDO_LABEL,Entrez votre login :,Enter your login:
LOGIN_PSEUDO_PLACEHOLDER,Pseudo,Username
LOGIN_PASSWORD_PLACEHOLDER,Mot de passe,Password
LOGIN_CONNECT_BUTTON,SE CONNECTER,LOG IN
BOOT_NETWORK_STATUS,réseau - chiffré,network - encrypted
BOOT_CREDIT,"Fait avec passion par [color=#39ff7a][b]SecretGame[/b][/color]","Made with passion by [color=#39ff7a][b]SecretGame[/b][/color]"
OPTIONS_TITLE,// Options,// Options
OPTIONS_LANGUAGE_LABEL,Langue,Language
OPTIONS_MUSIC_VOLUME_LABEL,Volume musique,Music volume
OPTIONS_SFX_VOLUME_LABEL,Volume du son,Sound volume
OPTIONS_RESOLUTION_LABEL,Résolution,Resolution
OPTIONS_RESOLUTION_FULLSCREEN,Plein écran,Fullscreen
OPTIONS_RESOLUTION_FULLSCREEN_BORDERLESS,Plein écran sans bordure,Borderless fullscreen
OPTIONS_RESOLUTION_2560,2560×1440 (redimensionnable),2560×1440 (resizable)
OPTIONS_RESOLUTION_1920,1920×1080 (redimensionnable),1920×1080 (resizable)
OPTIONS_CLOSE,Fermer,Close
OPTIONS_QUIT_GAME,Quitter la partie,Quit Game
OPTIONS_QUIT_WARNING,"Attention, toutes les données non sauvegardées <color=important>depuis %d minutes</color> ne seront pas enregistrées.","Warning, any unsaved progress <color=important>from the last %d minutes</color> will be lost."
NEWGAME_OVERWRITE_WARNING,"Attention, en confirmant, vous allez supprimer votre ancienne partie et votre progression.","Warning, confirming this will delete your current save and progress."
NEWGAME_RESTART_CONFIRM_QUESTION,Êtes-vous sûr de vouloir recommencer du début ?,Are you sure you want to start over from the beginning?
COMMON_CONFIRM,Confirmer,Confirm
COMMON_CANCEL,Annuler,Cancel
COMMON_CONTINUE_QUESTION,Continuer ?,Continue?
COMMON_YES,Oui,Yes
COMMON_NO,Non,No
DESKTOP_SEARCH_PLACEHOLDER,Tapez un prénom nom,Type a first and last name
DESKTOP_CPU_LABEL,CPU,CPU
DESKTOP_MEM_LABEL,MEM,MEM
DESKTOP_VPN_STATUS,VPN ON,VPN ON
DESKTOP_TOR_STATUS,TOR ×3,TOR ×3
DESKTOP_THOUGHT_LOG_BUTTON,Historique des pensées,Thought History
DESKTOP_HELP_BUTTON,Aide,Help
CHAT_WINDOW_TITLE,Discussion cryptée : Online,Encrypted chat: Online
